Gmt time,Open,High,Low,Close,% change
15.08.2022 18:00:00.000,173.105,173.264,172.905,173.11,0.00288842
15.08.2022 19:00:00.000,173.102,173.121,172.829,172.992,-0.063546348
15.08.2022 20:00:00.000,172.988,173.381,172.929,172.99,0.00115615
16.08.2022 14:00:00.000,172.424,172.784,172.14,172.33,-0.054516773
16.08.2022 15:00:00.000,172.31,172.593,171.662,172.367,0.033079914
16.08.2022 16:00:00.000,172.37,173.486,172.337,173.34,0.562742937
16.08.2022 17:00:00.000,173.335,173.375,172.579,172.824,-0.294804858
16.08.2022 18:00:00.000,172.822,173.296,172.709,173.085,0.152179699
16.08.2022 19:00:00.000,173.085,173.705,171.849,172.391,-0.400959066
16.08.2022 20:00:00.000,172.39,173.16,172.034,172.83,0.255235222
17.08.2022 14:00:00.000,173.14,174.305,173.095,174.165,0.592006469
17.08.2022 15:00:00.000,174.168,174.44,173.097,173.165,-0.575880759
17.08.2022 16:00:00.000,173.165,173.991,173.075,173.324,0.091819941
17.08.2022 17:00:00.000,173.328,174.482,173.261,174.064,0.42462845
17.08.2022 18:00:00.000,174.067,174.771,173.919,174.257,0.109153372
17.08.2022 19:00:00.000,174.26,176.138,174.105,175.328,0.61287731
17.08.2022 20:00:00.000,175.334,175.795,174.23,174.584,-0.427755028
18.08.2022 14:00:00.000,173.37,174.561,173.332,173.408,0.02191844
18.08.2022 15:00:00.000,173.405,174.343,173.111,174.002,0.34428073
18.08.2022 16:00:00.000,174.007,174.701,173.568,174.356,0.200566644
18.08.2022 17:00:00.000,174.356,174.631,173.564,173.984,-0.213356581
18.08.2022 18:00:00.000,173.977,174.537,173.78,174.299,0.185081936
18.08.2022 19:00:00.000,174.304,174.489,173.927,174.25,-0.030980356
18.08.2022 20:00:00.000,174.257,174.885,174.053,174.064,-0.110755952
19.08.2022 14:00:00.000,173.317,173.402,172.56,172.769,-0.31618364
19.08.2022 15:00:00.000,172.732,173.079,171.722,171.83,-0.522196235
19.08.2022 16:00:00.000,171.829,172.441,171.648,172.167,0.196707191
19.08.2022 17:00:00.000,172.157,172.928,171.86,172.741,0.339225242
19.08.2022 18:00:00.000,172.742,173.013,171.734,172.174,-0.32881407
19.08.2022 19:00:00.000,172.169,172.26,171.76,171.842,-0.189929662
19.08.2022 20:00:00.000,171.848,171.943,171.309,171.688,-0.093105535
22.08.2022 14:00:00.000,169.035,169.265,168.495,168.948,-0.051468631
22.08.2022 15:00:00.000,168.93,169.285,168.057,168.063,-0.513230332
22.08.2022 16:00:00.000,168.065,168.889,168.005,168.759,0.412935471
22.08.2022 17:00:00.000,168.759,169.042,168.568,168.915,0.092439514
22.08.2022 18:00:00.000,168.915,168.975,168.139,168.195,-0.426249889
22.08.2022 19:00:00.000,168.203,168.345,167.406,167.608,-0.353739232
22.08.2022 20:00:00.000,167.608,167.924,167.13,167.365,-0.144981146
23.08.2022 14:00:00.000,167.875,168.392,167.135,167.994,0.070886076
23.08.2022 15:00:00.000,168.002,168.702,167.026,167.072,-0.553564839
23.08.2022 16:00:00.000,167.07,167.82,166.644,167.798,0.435745496
23.08.2022 17:00:00.000,167.81,168.045,167.204,167.881,0.042309755
23.08.2022 18:00:00.000,167.88,168.165,167.308,167.578,-0.179890398
23.08.2022 19:00:00.000,167.573,168.046,167.417,167.773,0.119350969
23.08.2022 20:00:00.000,167.776,167.998,166.84,167.142,-0.377884799
24.08.2022 14:00:00.000,166.819,167.24,166.415,166.718,-0.060544662
24.08.2022 15:00:00.000,166.719,167.273,166.36,166.634,-0.050983991
24.08.2022 16:00:00.000,166.655,167.779,166.234,167.536,0.528637005
24.08.2022 17:00:00.000,167.54,167.974,167.165,167.371,-0.100871434
24.08.2022 18:00:00.000,167.368,167.696,167.075,167.572,0.121887099
24.08.2022 19:00:00.000,167.565,167.832,167.316,167.759,0.115775968
24.08.2022 20:00:00.000,167.762,168.101,167.484,167.535,-0.135310738
25.08.2022 14:00:00.000,169.135,169.75,168.935,169.562,0.252461052
25.08.2022 15:00:00.000,169.565,169.909,169.202,169.255,-0.182820747
25.08.2022 16:00:00.000,169.265,169.265,168.45,169.05,-0.127019762
25.08.2022 17:00:00.000,169.048,169.055,168.34,168.653,-0.233661445
25.08.2022 18:00:00.000,168.655,169.414,168.527,169.21,0.329074145
25.08.2022 19:00:00.000,169.207,169.383,168.901,169.238,0.018320755
25.08.2022 20:00:00.000,169.235,169.909,169.028,169.765,0.313173989
26.08.2022 14:00:00.000,170.179,170.434,169.738,170.275,0.056411191
26.08.2022 15:00:00.000,170.285,170.995,167.314,167.596,-1.579117362
26.08.2022 16:00:00.000,167.585,167.665,166.37,166.841,-0.443953814
26.08.2022 17:00:00.000,166.838,166.851,165.768,166.293,-0.326664189
26.08.2022 18:00:00.000,166.274,166.545,164.723,164.909,-0.820934121
26.08.2022 19:00:00.000,164.891,165.051,164.54,164.685,-0.124931015
26.08.2022 20:00:00.000,164.686,164.955,163.554,163.783,-0.54831619
29.08.2022 14:00:00.000,162.37,162.73,161.601,161.855,-0.317176818
29.08.2022 15:00:00.000,161.816,162.87,160.065,160.213,-0.990631334
29.08.2022 16:00:00.000,160.185,161.3,159.835,161.209,0.639260855
29.08.2022 17:00:00.000,161.214,162.18,160.948,161.934,0.446611336
29.08.2022 18:00:00.000,161.928,162.604,161.584,162.086,0.097574231
29.08.2022 19:00:00.000,162.094,162.25,161.565,161.975,-0.073414192
29.08.2022 20:00:00.000,161.975,162.535,161.396,161.409,-0.349436641
30.08.2022 14:00:00.000,161.97,162.386,160.975,161.246,-0.446996357
30.08.2022 15:00:00.000,161.195,161.48,158.229,159.17,-1.256242439
30.08.2022 16:00:00.000,159.144,159.435,158.6,159.18,0.022621022
30.08.2022 17:00:00.000,159.188,159.645,158.315,158.783,-0.254416162
30.08.2022 18:00:00.000,158.778,158.89,157.71,158.48,-0.187683432
30.08.2022 19:00:00.000,158.473,158.805,158.171,158.455,-0.011358402
30.08.2022 20:00:00.000,158.44,159.428,158.12,158.39,-0.031557687
31.08.2022 14:00:00.000,159.261,160.557,158.874,160.122,0.540621998
31.08.2022 15:00:00.000,160.114,160.197,158.867,159.032,-0.675768515
31.08.2022 16:00:00.000,159.027,159.741,158.407,159.577,0.34585322
31.08.2022 17:00:00.000,159.6,159.7,158.723,159.04,-0.350877193
31.08.2022 18:00:00.000,159.042,159.341,158.238,158.486,-0.349593189
31.08.2022 19:00:00.000,158.48,158.732,157.692,157.923,-0.351463907
31.08.2022 20:00:00.000,157.919,159.194,157.555,157.637,-0.178572559
01.09.2022 14:00:00.000,156.242,157.478,156.13,157.38,0.728357292
01.09.2022 15:00:00.000,157.33,157.62,155.751,155.751,-1.003622958
01.09.2022 16:00:00.000,155.739,156.405,155.168,155.512,-0.145756683
01.09.2022 17:00:00.000,155.51,156.015,154.674,154.972,-0.345958459
01.09.2022 18:00:00.000,154.963,155.982,154.82,155.874,0.587882269
